Album,AlbumArtLink,Artist,ReleaseDate,Summary,Title,Year,YouTubeLink,Actual_YT_Title
Libertinaje,https://lastfm.freetls.fastly.net/i/u/300x300/1b98311f27469e0d0b59b665ff6ddf8c.jpg,Bersuit Vergarabat,1998-01-01,"Argentinean Latin rock band Bersuit, also known as Bersuit Vergabarat, was formed in the late '80s by singer Gustavo Cordera. After playing under the name of Harry y Sus Palangas, the group's name was changed to Bersuit in May of 1989. They made their debut album, called Bersuit Vergarabat Y Punto, in 1992, followed by 1993's Asquerosa Alegria, which was produced by Twetty González. In 1995, guitarist Charly Bianco was replaced by Alberto Valenzuela and a year later they recorded Don Leopardo. After signing up to Gustavo Santaolalla's label Surco, distributed by Universal, Bersuit released Libertinaje and Los Hijos Del Culo. ~ Drago Bonacich",Sr. Cobranza,Unknown,https://www.youtube.com/watch?v=MjlYbw9WbHU&pp=ygUeQmVyc3VpdCBWZXJnYXJhYmF0IFNyIENvYnJhbnph,Bersuit Vergarabat - Sr. Cobranza
Libertinaje,https://lastfm.freetls.fastly.net/i/u/300x300/1b98311f27469e0d0b59b665ff6ddf8c.jpg,Bersuit Vergarabat,1998-01-01,"Argentinean Latin rock band Bersuit, also known as Bersuit Vergabarat, was formed in the late '80s by singer Gustavo Cordera. After playing under the name of Harry y Sus Palangas, the group's name was changed to Bersuit in May of 1989. They made their debut album, called Bersuit Vergarabat Y Punto, in 1992, followed by 1993's Asquerosa Alegria, which was produced by Twetty González. In 1995, guitarist Charly Bianco was replaced by Alberto Valenzuela and a year later they recorded Don Leopardo. After signing up to Gustavo Santaolalla's label Surco, distributed by Universal, Bersuit released Libertinaje and Los Hijos Del Culo. ~ Drago Bonacich",Vuelos,Unknown,https://www.youtube.com/watch?v=iDSXgATw7p4&pp=ygUZQmVyc3VpdCBWZXJnYXJhYmF0IFZ1ZWxvcw%3D%3D,Vuelos
Libertinaje,https://lastfm.freetls.fastly.net/i/u/300x300/1b98311f27469e0d0b59b665ff6ddf8c.jpg,Bersuit Vergarabat,1998-01-01,"Argentinean Latin rock band Bersuit, also known as Bersuit Vergabarat, was formed in the late '80s by singer Gustavo Cordera. After playing under the name of Harry y Sus Palangas, the group's name was changed to Bersuit in May of 1989. They made their debut album, called Bersuit Vergarabat Y Punto, in 1992, followed by 1993's Asquerosa Alegria, which was produced by Twetty González. In 1995, guitarist Charly Bianco was replaced by Alberto Valenzuela and a year later they recorded Don Leopardo. After signing up to Gustavo Santaolalla's label Surco, distributed by Universal, Bersuit released Libertinaje and Los Hijos Del Culo. ~ Drago Bonacich",Gente de mierdas,Unknown,https://www.youtube.com/watch?v=R89ieTYVNqc&pp=ygUjQmVyc3VpdCBWZXJnYXJhYmF0IEdlbnRlIGRlIG1pZXJkYXM%3D,Gente De Mierda
Libertinaje,https://lastfm.freetls.fastly.net/i/u/300x300/1b98311f27469e0d0b59b665ff6ddf8c.jpg,Bersuit Vergarabat,1998-01-01,"Argentinean Latin rock band Bersuit, also known as Bersuit Vergabarat, was formed in the late '80s by singer Gustavo Cordera. After playing under the name of Harry y Sus Palangas, the group's name was changed to Bersuit in May of 1989. They made their debut album, called Bersuit Vergarabat Y Punto, in 1992, followed by 1993's Asquerosa Alegria, which was produced by Twetty González. In 1995, guitarist Charly Bianco was replaced by Alberto Valenzuela and a year later they recorded Don Leopardo. After signing up to Gustavo Santaolalla's label Surco, distributed by Universal, Bersuit released Libertinaje and Los Hijos Del Culo. ~ Drago Bonacich",A marça de Deux,Unknown,https://www.youtube.com/watch?v=-4VBOM_FOOg&pp=ygUlQmVyc3VpdCBWZXJnYXJhYmF0IC0gQSBtYXLDp2EgZGUgRGV1eA%3D%3D,A Marca Di Deux
Libertinaje,https://lastfm.freetls.fastly.net/i/u/300x300/1b98311f27469e0d0b59b665ff6ddf8c.jpg,Bersuit Vergarabat,1998-01-01,"Argentinean Latin rock band Bersuit, also known as Bersuit Vergabarat, was formed in the late '80s by singer Gustavo Cordera. After playing under the name of Harry y Sus Palangas, the group's name was changed to Bersuit in May of 1989. They made their debut album, called Bersuit Vergarabat Y Punto, in 1992, followed by 1993's Asquerosa Alegria, which was produced by Twetty González. In 1995, guitarist Charly Bianco was replaced by Alberto Valenzuela and a year later they recorded Don Leopardo. After signing up to Gustavo Santaolalla's label Surco, distributed by Universal, Bersuit released Libertinaje and Los Hijos Del Culo. ~ Drago Bonacich",C.S.M.,Unknown,https://www.youtube.com/watch?v=CBPlQ7usBjk&pp=ygUWQmVyc3VpdCBWZXJnYXJhYmF0IENTTQ%3D%3D,C.S.M.
Libertinaje,https://lastfm.freetls.fastly.net/i/u/300x300/1b98311f27469e0d0b59b665ff6ddf8c.jpg,Bersuit Vergarabat,1998-01-01,"Argentinean Latin rock band Bersuit, also known as Bersuit Vergabarat, was formed in the late '80s by singer Gustavo Cordera. After playing under the name of Harry y Sus Palangas, the group's name was changed to Bersuit in May of 1989. They made their debut album, called Bersuit Vergarabat Y Punto, in 1992, followed by 1993's Asquerosa Alegria, which was produced by Twetty González. In 1995, guitarist Charly Bianco was replaced by Alberto Valenzuela and a year later they recorded Don Leopardo. After signing up to Gustavo Santaolalla's label Surco, distributed by Universal, Bersuit released Libertinaje and Los Hijos Del Culo. ~ Drago Bonacich",¿Qué pasó?,Unknown,https://www.youtube.com/watch?v=H5-IHB3scEA&pp=ygUdQmVyc3VpdCBWZXJnYXJhYmF0IFF1w6kgcGFzw7PSBwkJfgkBhyohjO8%3D,¿Que Paso?
Libertinaje,https://lastfm.freetls.fastly.net/i/u/300x300/1b98311f27469e0d0b59b665ff6ddf8c.jpg,Bersuit Vergarabat,1998-01-01,"Argentinean Latin rock band Bersuit, also known as Bersuit Vergabarat, was formed in the late '80s by singer Gustavo Cordera. After playing under the name of Harry y Sus Palangas, the group's name was changed to Bersuit in May of 1989. They made their debut album, called Bersuit Vergarabat Y Punto, in 1992, followed by 1993's Asquerosa Alegria, which was produced by Twetty González. In 1995, guitarist Charly Bianco was replaced by Alberto Valenzuela and a year later they recorded Don Leopardo. After signing up to Gustavo Santaolalla's label Surco, distributed by Universal, Bersuit released Libertinaje and Los Hijos Del Culo. ~ Drago Bonacich",Sincerebro,Unknown,https://www.youtube.com/watch?v=cZU-uf82N0I&pp=ygUdQmVyc3VpdCBWZXJnYXJhYmF0IFNpbmNlcmVicm_SBwkJfgkBhyohjO8%3D,Sincerebro
Atomizer,https://lastfm.freetls.fastly.net/i/u/300x300/79b38de7ea314232b73a480de907dcb4.png,Big Black,1986-01-01,"While punk rock was always supposed to be about pushing the envelope, few post-punk bands seemed willing to go quite so far to creatively confront their audience as Big Black. The group's guitars alternately sliced like a machete and ground like a dentist's drill, creating a groundbreaking and monolithic dissonance in the process. Their use of a drum machine, cranked up to ten and sounding a tattoo that pummeled the audience into submission, was a crucial precursor to the coming industrial music scene while creating a sound that was far more challenging and organic than what groups such as Ministry and Nine Inch Nails would achieve with similar ingredients. Big Black's songs, which openly dealt with such topics as mutilation, murder, rape, child molestation, arson, immolation, racism, and misogyny, established them as a group who acknowledged no taboos; and while they didn't seem to be advocating the antisocial or criminal behavior they sang about, there was also a level of familiarity with their subject matter that made more than a few listeners blanch. Big Black were a band who went where few bands dared to go (and where many felt bands shouldn't go), and for good or ill, their pervasive influence had a seismic impact on indie rock. At the same time, Big Black were a group who maintained firmly held ideals when it came to doing business: they paid for their own recordings, booked their own shows, handled their own management and publicity, and remained stubbornly independent at a time when many independent bands were eagerly reaching out for the major-label brass ring.
Big Black was the brainchild of Steve Albini, who spent much of his youth in Missoula, Montana. A skinny and unimposing kid with glasses and an intense demeanor, Albini was something of a loner in his high school days. After reading about the then-burgeoning punk rock scene in the music press, Albini began hunting down records and developed a taste for Suicide and the Ramones. In his senior year of high school, he began teaching himself to play guitar and bass to keep himself occupied after injuring his leg in a motorcycle accident. In 1980, after graduating from high school, Albini moved to Evanston, Illinois, not far from Chicago, to study journalism and art at Northwestern University. Not unexpectedly, Albini soon immersed himself in the Chicago punk scene and became a passionate fan of Naked Raygun. Before long, he became interested in starting a band of his own, and he briefly played with a new wave outfit called Stations; the group's most lingering influence was that Albini bought a Roland TR-606 drum machine to handle the band's percussion chores.
In 1981, frustrated by his inability to get a group off the ground, Albini decided to start a band all by his lonesome. Borrowing a four-track tape machine in exchange for a case of beer, he spent his spring break in his room, recording a six-song EP on which he played all the guitar and bass parts, handled all the vocals, and let ""Roland"" take care of the drumming. Calling the EP Lungs, Albini credited the material to the group name Big Black, and a local Chicago label, Ruthless Records, released the record near the end of 1982. Albini also began writing for several fanzines, most notably Matter, and his cantankerous screeds on a variety of topics (but mostly relating to the low ethical and musical standards of those in the music community) coupled with his lyrical obsessions gained him a reputation as the angriest man in rock & roll.
While response to Lungs was mixed, Albini at least had a calling card for his new ""group,"" and he was eager to put together a version of Big Black that could play live. In early 1983, Albini persuaded Jeff Pezzati, from his beloved Naked Raygun, to join the new group, and during a practice session in the basement of Pezzati's home, Santiago Durango, who also lived in the building and was a guitarist with Naked Raygun, came down and offered to jam with the group. The son of a doctor from Colombia who came to America to study at the University of Illinois, Durango was, like Albini, an intelligent social misfit who found solace in the abrasive sound of punk rock, joining a band called Silver Abuse in 1979, and the two quickly hit it off. Durango became a permanent member of Big Black, and his muscular guitar sound was the ideal match of Albini's jagged, metallic tone.
The band's next record, 1983's Bulldozer EP, was recorded with the group's new lineup, and this time around Albini had access to a 24-track recording studio and a sympathetic engineer and producer, Iain Burgess. The result was a quantum leap over Lungs, and the first real recorded manifestation of Big Black's trademark bruising, sinister sound. Initially packaged in a specially fabricated steel sleeve, Bulldozer received significantly greater attention in the independent music press than Lungs, and the band's third EP, 1984's Racer-X, combined with increased touring and better distribution thanks to a licensing deal with Homestead Records, began to break their following outside the Midwest.
In late 1984, Jeff Pezzati, bowing to the demands of his day job and Naked Raygun's increasingly busy schedule, amicably parted ways with Big Black. Santiago Durango, meanwhile, opted to leave Naked Raygun and make Big Black his first musical commitment. Dave Riley, a bassist who had done studio work in Detroit before relocating to Chicago and joining the band Savage Beliefs, was tapped as Big Black's new bass player. Not long after Riley signed on, Big Black began work on their first full-length album. Both musically and lyrically, 1985's Atomizer upped the ante on the musical and lyrical ferocity of Big Black's previous body of work, an unrelenting assault of guitar sounds and imagined violence of all sorts. Atomizer made Big Black the new cause célèbre of the indie rock scene; it was a polarizing work that people either loved or hated, but no one seemed neutral about, and enough listeners were taken with the record's sonic assault that it became a significant underground success. (The album also gave Albini the opportunity to launch the first of many salvos against digital recording technology when Atomizer was released on compact disc, along with several tracks from singles and EPs, as a collection called The Rich Man's Eight Track Tape.) However, the group didn't see as much of Atomizer's profits as they believed was their fair share, and following the release of Big Black's ""El Duce"" single, they parted ties with Homestead and entered into a new distribution agreement with Touch & Go Records, whose owner, Corey Rusk, was a trusted friend of Albini and the band. (Years later, Touch & Go would reissue the entire Big Black back catalog.)
Big Black's first release for Touch & Go was 1987's infamous Headache EP. An early limited-edition release of the record featured an appalling photo of the victim of an auto accident whose head had been split in two (an opaque black-plastic outer bag protected the sensibilities of those shopping for, say, a Smiths import). The music, however, was something of a letdown after Atomizer, and the band seemed to know it; the later mass-market release featured a sticker reading ""Not as good as Atomizer, so don't get your hopes up, cheese!"" There were also tensions within the band; Albini and Durango reportedly found Riley difficult to work with, and all three had trouble fitting Big Black's increasingly demanding schedule in alongside their personal commitments. Santiago Durango decided to return to law school in the fall of 1987, and the group decided this was a sign to call it quits.
Big Black announced their breakup as far in advance as possible and recorded a final album (half recorded in London, half recorded at Albini's new home studio) and mounted well-received farewell tours of Europe and the United States in the summer of 1987. Shortly after the band performed their final show in Seattle on August 11 (where they destroyed their gear at the finale), Touch & Go released Songs About Fucking, a scabrous masterpiece that went on to become the group's most successful album. In 1992, after the band's catalog reverted to Touch & Go, Pigpile, a live album and video recorded at the London date of the farewell tour, was released.
Following Big Black's breakup, Albini went on to a celebrated career as a producer and engineer, recording sessions for Nirvana, the Breeders, the Pixies, Superchunk, Bush, and Jimmy Page & Robert Plant, along with (by his own word) 1,000 bands no one has ever heard of, and opening his own recording studio in Chicago, Electrical Audio. He also performed in the acerbic and short-lived Rapeman as well as the more experimental and long-running Shellac. Albini died on May 7, 2024, of a heart attack at his recording studio. He was 61 years old. Dave Riley was briefly a member of the group Bull; in 1995, he was incapacitated with a stroke which, due to an early misdiagnosis, was incorrectly reported in some quarters to be a suicide attempt. Riley was living in Arizona and working in animal rescue when he succumbed to cancer on December 24, 2019. Santiago Durango for a time worked with the group Arsenal and recorded with Boss Hog, but his career in music has taken a back seat to his practice as a lawyer; his clients include Touch & Go Records and celebrated groupie and artist Cynthia Plaster Caster. ~ Mark Deming",Kerosene,Unknown,https://www.youtube.com/watch?v=EXV6EmSBULY&pp=ygUSQmlnIEJsYWNrIEtlcm9zZW5l,Kerosene
POSTINDUSTRIAL HOMETOWN BLUES,https://lastfm.freetls.fastly.net/i/u/300x300/f8385fa614a1fe38b3cbe89cf051f5fa.png,Big Special,2024-05-10,,BLACK COUNTRY GOTHIC,Unknown,https://www.youtube.com/watch?v=n24xTnuoUTM&pp=ygUiQmlnIFNwZWNpYWwgLSBCTEFDSyBDT1VOVFJZIEdPVEhJQw%3D%3D,BLACK COUNTRY GOTHIC
POSTINDUSTRIAL HOMETOWN BLUES,https://lastfm.freetls.fastly.net/i/u/300x300/f8385fa614a1fe38b3cbe89cf051f5fa.png,Big Special,2024-05-10,,DESPERATE BREAKFAST,Unknown,https://www.youtube.com/watch?v=Qz789gGHFDA&list=RDQz789gGHFDA&start_radio=1&pp=ygUfQmlnIFNwZWNpYWwgREVTUEVSQVRFIEJSRUFLRkFTVKAHAQ%3D%3D,Mix - BIG SPECIAL - DESPERATE BREAKFAST (Official Video)
POSTINDUSTRIAL HOMETOWN BLUES,https://lastfm.freetls.fastly.net/i/u/300x300/f8385fa614a1fe38b3cbe89cf051f5fa.png,Big Special,2024-05-10,,THIS HERE AIN’T WATER,Unknown,https://www.youtube.com/watch?v=9IVjMRCH-Ks&list=RD9IVjMRCH-Ks&start_radio=1&pp=ygUgQmlnIFNwZWNpYWwgVEhJUyBIRVJFIEFJTlQgV0FURVKgBwE%3D,ERROR: Link Dead or Private
POSTINDUSTRIAL HOMETOWN BLUES,https://lastfm.freetls.fastly.net/i/u/300x300/f8385fa614a1fe38b3cbe89cf051f5fa.png,Big Special,2024-05-10,,BROADCAST: TIME AWAY,Unknown,https://www.youtube.com/watch?v=DH3-ALzaTeU&pp=ygUiQmlnIFNwZWNpYWwgLSBCUk9BRENBU1Q6IFRJTUUgQVdBWQ%3D%3D,BROADCAST: TIME AWAY
POSTINDUSTRIAL HOMETOWN BLUES,https://lastfm.freetls.fastly.net/i/u/300x300/f8385fa614a1fe38b3cbe89cf051f5fa.png,Big Special,2024-05-10,,MONGREL,Unknown,https://www.youtube.com/watch?v=TDtLpa0aLa4&list=RDTDtLpa0aLa4&start_radio=1&pp=ygUTQmlnIFNwZWNpYWwgTU9OR1JFTKAHAQ%3D%3D,ERROR: Link Dead or Private
POSTINDUSTRIAL HOMETOWN BLUES,https://lastfm.freetls.fastly.net/i/u/300x300/f8385fa614a1fe38b3cbe89cf051f5fa.png,Big Special,2024-05-10,,DUST OFF/START AGAIN,Unknown,https://www.youtube.com/watch?v=ZvOCrnGEluc&list=RDZvOCrnGEluc&start_radio=1&pp=ygUfQmlnIFNwZWNpYWwgRFVTVCBPRkZTVEFSVCBBR0FJTqAHAQ%3D%3D,ERROR: Link Dead or Private
POSTINDUSTRIAL HOMETOWN BLUES,https://lastfm.freetls.fastly.net/i/u/300x300/f8385fa614a1fe38b3cbe89cf051f5fa.png,Big Special,2024-05-10,,TREES,Unknown,https://www.youtube.com/watch?v=xSSmuA2Cjys&list=RDxSSmuA2Cjys&start_radio=1&pp=ygURQmlnIFNwZWNpYWwgVFJFRVOgBwE%3D,Mix - BIG SPECIAL - TREES (Official Video)
POSTINDUSTRIAL HOMETOWN BLUES,https://lastfm.freetls.fastly.net/i/u/300x300/f8385fa614a1fe38b3cbe89cf051f5fa.png,Big Special,2024-05-10,,DiG!,Unknown,https://www.youtube.com/watch?v=wKnlDWD5xXg&pp=ygUSQmlnIFNwZWNpYWwgLSBEaUch,DiG!
7.1,https://lastfm.freetls.fastly.net/i/u/300x300/139616f5bf034b1f1ab6beb7c7af708e.jpg,Big Wreck,2021-11-19,"As the 1990s came to a close, Canadian-American neo-prog hard rock outfit Big Wreck climbed the charts with their first single, ""The Oaf,"" a post-grunge anthem that became their biggest radio hit. Found on their multi-platinum debut album, In Loving Memory Of..., the track was followed by subsequent singles that fared well in Canada. Their sophomore follow-up, 2001's The Pleasure and the Greed, hit the Top Ten in their home country, but it failed to gain traction on the singles charts or in the U.S. Soon after, Big Wreck split up. Nearly a decade later, with various side projects and adult careers under their belts, the band was re-formed by founder Ian Thornley and guitarist Brian Doherty, issuing the comeback effort Albatross in 2012. A Top Five Canadian hit, it was followed by the equally well-received Ghosts (2014) and Grace Street (2017). By the close of the decade, they'd released their acclaimed sixth album, ...but for the sun. In 2021 the band unveiled Big Wreck: 7.1, the first of a planned trilogy of new EPs.
Big Wreck was formed by Thornley (vocals, guitar), Doherty (guitar), Dave Henning (bass), and Forrest Williams (drums). The quartet met in the early '90s when they were studying at the Berklee College of Music in Boston. Eventually, the four spent more time jamming together than attending class, and they soon decided to leave school to form Big Wreck. The group became a fixture around Boston and Cambridge, regularly playing local stages. After spending several years rehearsing and playing concerts, Big Wreck landed a contract with Atlantic Records in 1997. Their debut album, In Loving Memory Of..., was released in the fall of that year. Their best-selling release to date, it climbed the Canadian and U.S. charts, spawning the radio hit ""The Oaf."" Their sophomore effort, The Pleasure & the Greed, arrived in 2001. Despite a Top Ten debut on the Canadian charts, the set did not sell as well, and the band broke up in 2002. Thornley formed a new group, simply called Thornley, and released a pair of albums in the 2010s.
In 2011, Thornley reconnected with Doherty and they returned to the studio to record Big Wreck's comeback effort, 2017's Albatross, with new members Paulo Neta (guitarist), Dave McMillan (bass) and Brad Park (drums). The positive public response to their return propelled the effort to number five on the Canadian charts. Park soon left the band and was replaced by Chuck Keeping, who joined in time for the slightly more prog rock-sounding Ghosts. Issued in 2014, the set was nominated for Rock Album of the Year at the Juno Awards the following year. Ghosts was also their highest-charting effort to date, showing again at number five in Canada and rising to number four on the U.S. Heatseekers chart.
In late 2016, Big Wreck issued the single ""One Good Piece of Me,"" found on their fifth studio long-player, Grace Street, which arrived in February 2017. Around this time, Neta parted ways with the band (later replaced by Chris Caddell). The next year, the quintet celebrated the 20th anniversary of Big Wreck's breakthrough debut, embarking on a tour where they played In Loving Memory Of... in its entirety. Jumping immediately into the studio, they kicked off a new album cycle with the release of ""Locomotive,"" which was included on their well-regarded sixth LP, 2019's ...but for the sun. Tragically, before the album was released that August, Doherty passed away and the band continued as a quartet. Two years later, they returned with Big Wreck: 7.1, the first installment of a three-part EP series. ~ Neil Z. Yeung & Stephen Thomas Erlewine",If All Else Fails,Unknown,https://www.youtube.com/watch?v=tDAxInpnEDA&pp=ygUdQmlnIFdyZWNrIC0gSWYgQWxsIEVsc2UgRmFpbHM%3D,If All Else Fails
